
fet_x,fet_y,tar_x,tar_y,prev_dir,dir
19,14,7,29,2,2
19,15,7,29,2,2
19,16,7,29,2,2
19,17,7,29,2,2
19,18,7,29,2,1
18,18,7,29,1,1
17,18,7,29,1,1
16,18,7,29,1,1
15,18,7,29,1,1
14,18,7,29,1,1
13,18,7,29,1,2
13,19,7,29,2,2
13,20,7,29,2,2
13,21,7,29,2,1
12,21,7,29,1,1
11,21,7,29,1,1
10,21,7,29,1,2
10,22,7,29,2,2
10,23,7,29,2,2
10,24,7,29,2,2
10,25,7,29,2,2
10,26,7,29,2,2
10,27,7,29,2,2
10,28,7,29,2,2
10,29,7,29,2,2
10,30,7,29,2,1
9,30,7,29,1,1
6,30,7,29,1,3
7,30,7,29,3,0
7,29,9,5,4,0
7,28,9,5,0,0
7,27,9,5,0,1
6,27,9,5,1,1
5,27,9,5,1,0
5,26,9,5,0,0
5,25,9,5,0,0
5,24,9,5,0,3
6,24,9,5,3,3
7,24,9,5,3,0
7,23,9,5,0,0
7,22,9,5,0,0
7,21,9,5,0,0
7,20,9,5,0,0
7,19,9,5,0,0
7,18,9,5,0,0
7,17,9,5,0,0
7,16,9,5,0,0
7,15,9,5,0,0
7,14,9,5,0,0
7,13,9,5,0,0
7,12,9,5,0,0
7,11,9,5,0,1
6,11,9,5,1,1
5,11,9,5,1,0
5,10,9,5,0,0
5,9,9,5,0,0
5,8,9,5,0,0
5,7,9,5,0,0
5,6,9,5,0,0
5,5,9,5,0,3
6,5,9,5,3,3
7,5,9,5,3,3
8,5,9,5,3,3
9,5,19,11,4,3
10,5,19,11,3,3
11,5,19,11,3,3
12,5,19,11,3,3
13,5,19,11,3,2
13,6,19,11,2,2
13,7,19,11,2,2
13,8,19,11,2,2
13,9,19,11,2,3
14,9,19,11,3,3
15,9,19,11,3,3
16,9,19,11,3,0
16,8,19,11,0,0
16,7,19,11,0,0
16,6,19,11,0,0
16,5,19,11,0,3
17,5,19,11,3,3
18,5,19,11,3,3
19,5,19,11,3,2
19,6,19,11,2,2
19,7,19,11,2,2
19,8,19,11,2,2
19,9,19,11,2,2
19,10,19,11,2,2
19,11,12,2,4,0
19,10,12,2,0,0
19,9,12,2,0,0
19,8,12,2,0,0
19,7,12,2,0,0
19,6,12,2,0,0
19,5,12,2,0,0
19,4,12,2,0,0
19,3,12,2,0,0
19,2,12,2,0,1
18,2,12,2,1,1
17,2,12,2,1,1
16,2,12,2,1,1
15,2,12,2,1,1
14,2,12,2,1,1
13,2,12,2,1,1
12,2,9,8,4,1
11,2,9,8,1,1
10,2,9,8,1,2
10,3,9,8,2,2
10,4,9,8,2,2
10,5,9,8,2,2
10,6,9,8,2,2
10,7,9,8,2,2
10,8,9,8,2,1
9,8,10,3,4,3
10,8,10,3,3,0
10,7,10,3,0,0
10,6,10,3,0,0
10,5,10,3,0,0
10,4,10,3,0,0
10,3,19,15,4,2
10,4,19,15,2,2
10,5,19,15,2,2
10,6,19,15,2,2
10,7,19,15,2,2
10,8,19,15,2,2
10,9,19,15,2,2
10,10,19,15,2,2
10,11,19,15,2,2
10,12,19,15,2,3
11,12,19,15,3,3
12,12,19,15,3,3
13,12,19,15,3,3
14,12,19,15,3,3
15,12,19,15,3,3
16,12,19,15,3,3
17,12,19,15,3,3
18,12,19,15,3,3
19,12,19,15,3,2
19,13,19,15,2,2
19,14,19,15,2,2
19,15,23,5,4,0
19,14,23,5,0,0
19,13,23,5,0,0
19,12,23,5,0,0
19,11,23,5,0,0
19,10,23,5,0,0
19,9,23,5,0,0
19,8,23,5,0,0
19,7,23,5,0,0
19,6,23,5,0,0
19,5,23,5,0,3
20,5,23,5,3,3
21,5,23,5,3,3
22,5,23,5,3,3
23,5,14,2,4,1
22,5,14,2,1,1
21,5,14,2,1,1
20,5,14,2,1,1
19,5,14,2,1,0
19,4,14,2,0,0
19,3,14,2,0,0
19,2,14,2,0,1
18,2,14,2,1,1
17,2,14,2,1,1
16,2,14,2,1,1
15,2,14,2,1,1
14,2,27,30,4,3
15,2,27,30,3,3
16,2,27,30,3,3
17,2,27,30,3,3
18,2,27,30,3,3
19,2,27,30,3,2
19,3,27,30,2,2
19,4,27,30,2,2
19,5,27,30,2,2
19,6,27,30,2,2
19,7,27,30,2,2
19,8,27,30,2,2
19,9,27,30,2,2
19,10,27,30,2,2
19,11,27,30,2,2
19,12,27,30,2,2
19,13,27,30,2,2
19,14,27,30,2,2
19,15,27,30,2,3
20,15,27,30,3,3
21,15,27,30,3,3
22,15,27,30,3,2
22,16,27,30,2,2
22,17,27,30,2,2
22,18,27,30,2,2
22,19,27,30,2,2
22,20,27,30,2,2
22,21,27,30,2,2
22,22,27,30,2,2
22,23,27,30,2,2
22,24,27,30,2,3
23,24,27,30,3,3
24,24,27,30,3,2
24,25,27,30,2,2
24,26,27,30,2,2
24,27,27,30,2,3
25,27,27,30,3,3
26,27,27,30,3,3
27,27,27,30,3,2
27,28,27,30,2,2
27,29,27,30,2,2
27,30,6,11,4,0
27,29,6,11,0,0
27,28,6,11,0,0
27,27,6,11,0,1
26,27,6,11,1,1
25,27,6,11,1,1
24,27,6,11,1,0
24,26,6,11,0,0
24,25,6,11,0,0
24,24,6,11,0,1
23,24,6,11,1,1
22,24,6,11,1,1
21,24,6,11,1,1
20,24,6,11,1,1
19,24,6,11,1,1
18,24,6,11,1,1
17,24,6,11,1,1
16,24,6,11,1,1
15,24,6,11,1,1
14,24,6,11,1,1
13,24,6,11,1,1
12,24,6,11,1,1
11,24,6,11,1,1
10,24,6,11,1,1
7,24,6,11,1,0
7,23,6,11,0,0
7,22,6,11,0,0
7,21,6,11,0,0
7,20,6,11,0,0
7,19,6,11,0,0
7,18,6,11,0,0
7,17,6,11,0,0
7,16,6,11,0,0
7,15,6,11,0,0
7,14,6,11,0,0
7,13,6,11,0,0
7,12,6,11,0,0
7,11,6,11,0,1
6,11,27,5,4,1
5,11,27,5,1,0
5,10,27,5,0,0
5,9,27,5,0,0
5,8,27,5,0,0
5,7,27,5,0,0
5,6,27,5,0,0
5,5,27,5,0,3
6,5,27,5,3,3
7,5,27,5,3,3
8,5,27,5,3,3
9,5,27,5,3,3
10,5,27,5,3,0
10,4,27,5,0,0
10,3,27,5,0,0
10,2,27,5,0,3
11,2,27,5,3,3
12,2,27,5,3,3
13,2,27,5,3,3
14,2,27,5,3,3
15,2,27,5,3,3
16,2,27,5,3,3
17,2,27,5,3,3
18,2,27,5,3,3
19,2,27,5,3,3
20,2,27,5,3,3
21,2,27,5,3,3
22,2,27,5,3,3
23,2,27,5,3,3
24,2,27,5,3,3
25,2,27,5,3,3
26,2,27,5,3,3
27,2,27,5,3,2
27,3,27,5,2,2
27,4,27,5,2,2
27,5,6,30,4,2
27,6,6,30,2,2
27,7,6,30,2,2
27,8,6,30,2,1
26,8,6,30,1,1
25,8,6,30,1,1
24,8,6,30,1,2
24,9,6,30,2,2
24,10,6,30,2,2
24,11,6,30,2,1
23,11,6,30,1,1
22,11,6,30,1,2
22,12,6,30,2,2
22,13,6,30,2,2
22,14,6,30,2,2
22,15,6,30,2,1
21,15,6,30,1,1
20,15,6,30,1,1
19,15,6,30,1,2
19,16,6,30,2,2
19,17,6,30,2,2
19,18,6,30,2,1
18,18,6,30,1,1
17,18,6,30,1,1
16,18,6,30,1,1
15,18,6,30,1,1
14,18,6,30,1,1
13,18,6,30,1,2
13,19,6,30,2,2
13,20,6,30,2,2
13,21,6,30,2,1
12,21,6,30,1,1
11,21,6,30,1,1
10,21,6,30,1,2
10,22,6,30,2,2
10,23,6,30,2,2
10,24,6,30,2,2
10,25,6,30,2,2
10,26,6,30,2,2
10,27,6,30,2,2
10,28,6,30,2,2
10,29,6,30,2,2
10,30,6,30,2,1
9,30,6,30,1,1
8,30,6,30,1,1
7,30,6,30,1,1
6,30,15,27,4,3
7,30,15,27,3,3
8,30,15,27,3,3
9,30,15,27,3,3
10,30,15,27,3,3
11,30,15,27,3,3
12,30,15,27,3,3
13,30,15,27,3,0
13,29,15,27,0,0
13,28,15,27,0,0
13,27,15,27,0,3
14,27,15,27,3,3
15,27,7,24,4,1
14,27,7,24,1,1
13,27,7,24,1,2
13,28,7,24,2,2
13,29,7,24,2,2
13,30,7,24,2,1
12,30,7,24,1,1
11,30,7,24,1,1
10,30,7,24,1,0
10,29,7,24,0,0
10,28,7,24,0,0
10,27,7,24,0,0
10,26,7,24,0,0
10,25,7,24,0,0
10,24,7,24,0,1
7,24,7,18,4,0
7,23,7,18,0,0
7,22,7,18,0,0
7,21,7,18,0,0
7,20,7,18,0,0
7,19,7,18,0,0
7,18,19,13,4,0
7,17,19,13,0,0
7,16,19,13,0,0
7,15,19,13,0,3
8,15,19,13,3,3
9,15,19,13,3,3
10,15,19,13,3,0
10,14,19,13,0,0
10,13,19,13,0,0
10,12,19,13,0,3
11,12,19,13,3,3
12,12,19,13,3,3
13,12,19,13,3,3
14,12,19,13,3,3
15,12,19,13,3,3
16,12,19,13,3,3
17,12,19,13,3,3
18,12,19,13,3,3
19,12,19,13,3,2
19,13,2,6,4,0
19,12,2,6,0,1
18,12,2,6,1,1
17,12,2,6,1,1
16,12,2,6,1,1
15,12,2,6,1,1
14,12,2,6,1,1
13,12,2,6,1,1
12,12,2,6,1,1
11,12,2,6,1,1
10,12,2,6,1,0
10,11,2,6,0,0
10,10,2,6,0,0
10,9,2,6,0,0
10,8,2,6,0,1
9,8,2,6,1,1
8,8,2,6,1,1
7,8,2,6,1,1
6,8,2,6,1,1
5,8,2,6,1,1
4,8,2,6,1,1
3,8,2,6,1,1
2,8,2,6,1,0
2,7,2,6,0,0
2,6,10,4,4,0
2,5,10,4,0,0
2,4,10,4,0,0
2,3,10,4,0,0
2,2,10,4,0,3
3,2,10,4,3,3
4,2,10,4,3,3
5,2,10,4,3,3
6,2,10,4,3,3
7,2,10,4,3,3
8,2,10,4,3,3
9,2,10,4,3,3
10,2,10,4,3,2
10,3,10,4,2,2
10,4,21,15,4,2
10,5,21,15,2,2
10,6,21,15,2,2
10,7,21,15,2,2
10,8,21,15,2,2
10,9,21,15,2,2
10,10,21,15,2,2
10,11,21,15,2,2
10,12,21,15,2,3
11,12,21,15,3,3
12,12,21,15,3,3
13,12,21,15,3,3
14,12,21,15,3,3
15,12,21,15,3,3
16,12,21,15,3,3
17,12,21,15,3,3
18,12,21,15,3,3
19,12,21,15,3,2
19,13,21,15,2,2
19,14,21,15,2,2
19,15,21,15,2,3
20,15,21,15,3,3
21,15,19,8,4,1
20,15,19,8,1,1
19,15,19,8,1,0
